Type, Name, Email, StructureName, ParentEmail1, ParentEmail2
Parent, Jill Bloggs, JillBloggs@gmail.com, , ,
Parent, John Bloggs, JohnBloggs@gmail.com, , ,
Parent, Parent 1, Parent1@gmail.com, , ,
Parent, Parent 2, Parent2@gmail.com, , ,
Parent, Parent 3, Parent3@gmail.com, , ,
Parent, Parent 4, Parent4@gmail.com, , ,
Parent, Parent 5, Parent5@gmail.com, , ,
Parent, Parent 6, Parent6@gmail.com, , ,
Parent, Parent 7, Parent7@gmail.com, , ,
Teacher, Teacher 1A, Teacher1A@joesprimary.co.za, 1A, ,
Teacher, Teacher 2A, Teacher2A@joesprimary.co.za, 2A, ,
Teacher, HOD Grade 1, TeacherGrade1@joesprimary.co.za, Grade 1, ,
Teacher, HOD Grade 2, TeacherGrade2@joesprimary.co.za, Grade 2, ,
Teacher, Principal, Principal@joesprimary.co.za, Joe's Primary, ,
Student, Student 1A 1, Student1A1@joesprimary.co.za, 1A, JillBloggs@gmail.com, JohnBloggs@gmail.com
Student, Student 1A 2, Student1A2@joesprimary.co.za, 1A, Parent1@gmail.com,
Student, Student 1A 3, Student1A3@joesprimary.co.za, 1A, Parent2@gmail.com,
Student, Student 1A 4, Student1A4@joesprimary.co.za, 1A, Parent3@gmail.com,
Student, Student 1A 5, Student1A5@joesprimary.co.za, 1A, Parent4@gmail.com,
Student, Student 2A 1, Student2A1@joesprimary.co.za, 2A, JillBloggs@gmail.com, JohnBloggs@gmail.com
Student, Student 2A 2, Student2A2@joesprimary.co.za, 2A, Parent4@gmail.com,
Student, Student 2A 3, Student2A3@joesprimary.co.za, 2A, Parent5@gmail.com,
Student, Student 2A 4, Student2A4@joesprimary.co.za, 2A, Parent6@gmail.com,
Student, Student 2A 5, Student2A5@joesprimary.co.za, 2A, Parent7@gmail.com,
